model,family,dataset_id,seed,lambda,status,error_message,n_train,n_flipped,noisy_train_accuracy,clean_train_accuracy,clean_test_accuracy,clean_test_auc,train_test_gap,noisy_label_fit_rate,clean_label_recovery_rate,confidence_on_flipped_samples
xgboost,gbdt,iris,1,0.4,ok,,105,42,0.9904761904761905,0.6095238095238096,0.4888888888888889,0.7355555555555556,0.5015873015873016,0.9761904761904762,0.023809523809523808,0.9132039653403419
catboost,gbdt,iris,1,0.0,ok,,105,0,1.0,1.0,0.9333333333333333,0.9911111111111112,0.06666666666666665,,,
catboost,gbdt,iris,1,0.05,ok,,105,5,1.0,0.9523809523809523,0.9333333333333333,0.9896296296296296,0.06666666666666665,1.0,0.0,0.9118318443509696
catboost,gbdt,iris,1,0.1,ok,,105,10,1.0,0.9047619047619048,0.9555555555555556,0.9844444444444446,0.0444444444444444,1.0,0.0,0.8301903464142748
catboost,gbdt,iris,1,0.2,ok,,105,21,0.9904761904761905,0.8095238095238095,0.8222222222222222,0.9185185185185185,0.16825396825396832,0.9523809523809523,0.047619047619047616,0.8130748119252883
catboost,gbdt,iris,1,0.3,ok,,105,32,1.0,0.6952380952380952,0.7333333333333333,0.8896296296296295,0.2666666666666667,1.0,0.0,0.8536011342092884
catboost,gbdt,iris,1,0.4,ok,,105,42,0.9904761904761905,0.6095238095238096,0.6222222222222222,0.8614814814814814,0.3682539682539683,0.9761904761904762,0.023809523809523808,0.799711809875895
tabicl,icl,iris,1,0.0,ok,,105,0,1.0,1.0,0.9333333333333333,0.994074074074074,0.06666666666666665,,,
tabicl,icl,iris,1,0.05,ok,,105,5,0.9523809523809523,0.9809523809523809,0.9555555555555556,0.9955555555555556,-0.0031746031746032743,0.2,0.8,0.3396209478378296
tabicl,icl,iris,1,0.1,ok,,105,10,0.8952380952380953,0.9904761904761905,0.9555555555555556,0.9955555555555556,-0.060317460317460325,0.0,1.0,0.072480433806777
tabicl,icl,iris,1,0.2,ok,,105,21,0.7904761904761904,0.9904761904761905,0.9333333333333333,0.9918518518518519,-0.1428571428571429,0.0,1.0,0.1657311006316117
tabicl,icl,iris,1,0.3,ok,,105,32,0.7428571428571429,0.9333333333333333,0.9555555555555556,0.9829629629629629,-0.21269841269841272,0.1875,0.8125,0.36095459619536996
tabicl,icl,iris,1,0.4,ok,,105,42,0.6666666666666666,0.9142857142857143,0.9333333333333333,0.9918518518518519,-0.2666666666666667,0.19047619047619047,0.8095238095238095,0.31390418396109626
tabpfn,icl,iris,1,0.0,ok,,105,0,1.0,1.0,0.9555555555555556,0.9955555555555556,0.0444444444444444,,,
tabpfn,icl,iris,1,0.05,ok,,105,5,0.9333333333333333,0.9809523809523809,0.9555555555555556,0.9911111111111112,-0.022222222222222254,0.0,1.0,0.2913955867290497
tabpfn,icl,iris,1,0.1,ok,,105,10,0.8952380952380953,0.9904761904761905,0.9333333333333333,0.994074074074074,-0.03809523809523807,0.0,1.0,0.07286944314837455
tabpfn,icl,iris,1,0.2,ok,,105,21,0.780952380952381,0.9809523809523809,0.8888888888888888,0.9718518518518519,-0.10793650793650789,0.0,1.0,0.18180996942378225
tabpfn,icl,iris,1,0.3,ok,,105,32,0.9333333333333333,0.7619047619047619,0.8888888888888888,0.9896296296296296,0.04444444444444451,0.78125,0.21875,0.563573244959116
tabpfn,icl,iris,1,0.4,ok,,105,42,0.6285714285714286,0.8952380952380953,0.9111111111111111,0.9911111111111112,-0.28253968253968254,0.14285714285714285,0.8095238095238095,0.28730383089610506
