model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
tabicl,cnae-9,label_noise,0.1,6,3,0.4,2025
tabicl,credit-approval,covariate_shift,0.05,6,4,0.4,2025
tabicl,credit-approval,label_noise,0.05,6,4,0.4,2025
tabicl,credit-g,covariate_shift,0.3,6,1,0.4,2025
tabicl,credit-g,label_noise,0.1,6,3,0.4,2025
tabicl,diabetes,covariate_shift,0.05,6,4,0.4,2025
tabicl,diabetes,label_noise,0.1,6,3,0.4,2025
tabicl,dna,covariate_shift,0.4,6,0,0.4,2025
tabicl,dna,label_noise,0.1,6,3,0.4,2025
tabicl,dresses-sales,covariate_shift,0.0,6,6,0.4,2025
tabicl,dresses-sales,label_noise,0.0,6,6,0.4,2025
tabicl,eucalyptus,covariate_shift,0.0,6,5,0.4,2025
tabicl,eucalyptus,label_noise,0.1,6,3,0.4,2025
tabicl,first-order-theorem-proving,covariate_shift,0.0,6,5,0.4,2025
tabicl,first-order-theorem-proving,label_noise,0.1,6,3,0.4,2025
tabicl,ilpd,covariate_shift,0.0,6,5,0.4,2025
tabicl,ilpd,label_noise,0.05,6,4,0.4,2025
tabicl,kc1,covariate_shift,0.0,6,5,0.4,2025
tabicl,kc1,label_noise,0.1,6,3,0.4,2025
tabicl,kr-vs-kp,covariate_shift,0.4,6,0,0.4,2025
tabicl,kr-vs-kp,label_noise,0.05,6,4,0.4,2025
tabicl,mfeat-factors,covariate_shift,0.2,6,2,0.4,2025
tabicl,mfeat-factors,label_noise,0.1,6,3,0.4,2025
tabicl,mfeat-fourier,covariate_shift,0.1,6,3,0.4,2025
tabicl,mfeat-fourier,label_noise,0.1,6,3,0.4,2025
tabicl,mfeat-karhunen,covariate_shift,0.2,6,2,0.4,2025
tabicl,mfeat-karhunen,label_noise,0.1,6,3,0.4,2025
tabicl,mfeat-morphological,covariate_shift,0.0,6,5,0.4,2025
tabicl,mfeat-morphological,label_noise,0.1,6,3,0.4,2025
tabicl,mfeat-zernike,covariate_shift,0.1,6,3,0.4,2025
tabicl,mfeat-zernike,label_noise,0.1,6,3,0.4,2025
tabicl,optdigits,covariate_shift,0.05,6,4,0.4,2025
tabicl,optdigits,label_noise,0.1,6,3,0.4,2025
tabicl,ozone-level-8hr,covariate_shift,0.2,6,2,0.4,2025
tabicl,ozone-level-8hr,label_noise,0.05,6,4,0.4,2025
tabicl,pc1,covariate_shift,0.0,6,5,0.4,2025
tabicl,pc1,label_noise,0.05,6,4,0.4,2025
tabicl,pc3,covariate_shift,0.1,6,3,0.4,2025
tabicl,pc3,label_noise,0.1,6,3,0.4,2025
tabicl,pc4,covariate_shift,0.0,6,5,0.4,2025
tabicl,pc4,label_noise,0.1,6,3,0.4,2025
tabicl,pendigits,covariate_shift,0.0,6,5,0.4,2025
tabicl,pendigits,label_noise,0.1,6,3,0.4,2025
tabicl,phoneme,covariate_shift,0.0,6,5,0.4,2025
tabicl,phoneme,label_noise,0.1,6,3,0.4,2025
tabicl,qsar-biodeg,covariate_shift,0.0,6,5,0.4,2025
tabicl,qsar-biodeg,label_noise,0.1,6,3,0.4,2025
