aure,robust_fraction,abs_utility_area,abs_ece_radius,abs_auc_radius,self_ref_radius,auc_retention,utility_drop,admitted,rho_grid,model,dataset_id
0.05,0.3333333333333333,0.004160384614583411,0.2,0.05,0.05,0.8828129099973762,0.17487778715640756,True,0.05,hist_gbdt,churn
0.05,0.3333333333333333,0.005839098036729311,0.1,0.1,0.05,0.8902811698928206,0.1402472545793365,True,0.05,hist_gbdt,churn
0.0,0.6666666666666666,0.031034384341706956,0.4,0.0,0.4,1.0833793484262837,-0.06319937835386645,False,0.0,hist_gbdt,climate-model-simulation-crashes
0.0,0.0,0.0,0.4,0.0,0.1,0.854334621755936,0.0985136751186523,False,0.0,hist_gbdt,climate-model-simulation-crashes
0.0,0.0,0.0,0.0,0.0,0.05,0.9113089669614103,0.09269525858329922,False,0.0,hist_gbdt,cmc
0.0,0.0,0.0016395995625217328,0.0,0.0,0.3,0.9380697885014261,0.01744883308065632,False,0.0,hist_gbdt,cmc
0.0,0.0,0.0,0.2,0.3,0.2,0.9929740896204645,0.04203269678374635,False,0.0,hist_gbdt,cnae-9
0.0,0.0,0.0,0.0,0.2,0.2,0.9760499307737955,0.0346463307918375,False,0.0,hist_gbdt,cnae-9
0.0,0.0,0.0,0.0,0.4,0.0,0.973314851891781,0.1101490882055423,False,0.0,hist_gbdt,credit-approval
0.0,0.0,0.0,0.3,0.1,0.1,0.8822013450382464,0.0827020329763957,False,0.0,hist_gbdt,credit-approval
0.0,0.0,0.0002416157470144,0.0,0.2,0.4,1.0082400604271098,-0.01270440441354998,False,0.0,hist_gbdt,credit-g
0.0,0.0,0.0,0.0,0.05,0.2,0.8915333379111446,0.048500354799284856,False,0.0,hist_gbdt,credit-g
0.0,0.0,0.0,0.0,0.0,0.0,0.9427979703841773,0.2272581672667457,False,0.0,hist_gbdt,diabetes
0.0,0.0,0.0,0.0,0.05,0.05,0.855358807082945,0.08720196033827339,False,0.0,hist_gbdt,diabetes
0.4,1.0,0.007942773085017174,0.4,0.4,0.4,1.0,-0.0,True,0.4,hist_gbdt,dna
0.1,0.5,0.004968668882384795,0.2,0.2,0.1,0.9653623730307647,0.06627282773577288,True,0.1,hist_gbdt,dna
0.0,0.0,0.0,0.0,0.05,0.05,0.9890410958904109,0.02791282796268536,False,0.0,hist_gbdt,dresses-sales
0.0,0.0,0.0,0.0,0.0,0.0,0.8799086757990867,0.07583450392509866,False,0.0,hist_gbdt,dresses-sales
0.0,0.0,0.0,0.0,0.0,0.0,0.8130265182354796,0.4965992138978893,False,0.0,hist_gbdt,eucalyptus
0.0,0.0,0.0,0.0,0.0,0.1,0.9354333377304865,0.026284761828949788,False,0.0,hist_gbdt,eucalyptus
0.0,0.0,0.0,0.0,0.0,0.0,0.70559385975864,0.2563501128838171,False,0.0,hist_gbdt,first-order-theorem-proving
0.0,0.16666666666666666,0.0011136847161989695,0.0,0.1,0.2,0.9349015650436125,0.028949704640100583,False,0.0,hist_gbdt,first-order-theorem-proving
0.0,0.0,0.0,0.0,0.0,0.05,0.9605080277977475,0.3163124662429179,False,0.0,hist_gbdt,ilpd
0.0,0.0,0.0,0.0,0.0,0.3,0.9558111670261203,-0.022682257852783615,False,0.0,hist_gbdt,ilpd
0.0,0.0,0.0,0.2,0.0,0.2,0.8992278698722875,0.043467842529212895,False,0.0,hist_gbdt,kc1
0.0,0.16666666666666666,0.00024248240234285104,0.1,0.0,0.05,0.8206267305839159,0.11097213820687642,False,0.0,hist_gbdt,kc1
0.4,1.0,0.03515911388295556,0.4,0.4,0.4,1.0,-0.0,True,0.4,hist_gbdt,kr-vs-kp
0.0,0.16666666666666666,0.005859852313825927,0.05,0.3,0.0,0.933276233690097,0.18208199005354053,True,0.0,hist_gbdt,kr-vs-kp
0.1,0.5,0.012173936388686699,0.2,0.3,0.1,0.975787619371388,0.12659076268373404,True,0.1,hist_gbdt,mfeat-factors
0.2,0.6666666666666666,0.0159479558240548,0.4,0.4,0.2,0.9960391878109839,0.020793577206988646,True,0.2,hist_gbdt,mfeat-factors
0.0,0.16666666666666666,0.0007596924406003033,0.05,0.2,0.05,0.9147337798779359,0.3606792671686635,True,0.0,hist_gbdt,mfeat-fourier
0.05,0.3333333333333333,0.0023538353062716824,0.4,0.4,0.3,0.988924691787149,0.019651359488290297,True,0.05,hist_gbdt,mfeat-fourier
0.05,0.3333333333333333,0.007645202416886081,0.1,0.2,0.1,0.9559189129809165,0.21616793651485877,True,0.05,hist_gbdt,mfeat-karhunen
0.2,0.6666666666666666,0.015272578215477431,0.4,0.4,0.2,0.9940673167078744,0.02211228139378174,True,0.2,hist_gbdt,mfeat-karhunen
