model,dataset_id,shift_axis,base_seed,rho,n_lambda,n_failed,max_lambda
catboost_tuned,spambase,covariate_shift,42,0.0,6,5,0.4
catboost_tuned,spambase,covariate_shift,1337,0.0,6,5,0.4
catboost_tuned,spambase,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,spambase,label_noise,42,0.05,6,4,0.4
catboost_tuned,spambase,label_noise,1337,0.0,6,5,0.4
catboost_tuned,spambase,label_noise,2025,0.0,6,5,0.4
catboost_tuned,splice,covariate_shift,42,0.4,6,0,0.4
catboost_tuned,splice,covariate_shift,1337,0.4,6,0,0.4
catboost_tuned,splice,covariate_shift,2025,0.4,6,0,0.4
catboost_tuned,splice,label_noise,42,0.0,6,5,0.4
catboost_tuned,splice,label_noise,1337,0.05,6,4,0.4
catboost_tuned,splice,label_noise,2025,0.0,6,5,0.4
catboost_tuned,steel-plates-fault,covariate_shift,42,0.4,6,0,0.4
catboost_tuned,steel-plates-fault,covariate_shift,1337,0.4,6,0,0.4
catboost_tuned,steel-plates-fault,covariate_shift,2025,0.4,6,0,0.4
catboost_tuned,steel-plates-fault,label_noise,42,0.0,6,5,0.4
catboost_tuned,steel-plates-fault,label_noise,1337,0.0,6,5,0.4
catboost_tuned,steel-plates-fault,label_noise,2025,0.0,6,5,0.4
catboost_tuned,texture,covariate_shift,42,0.05,6,4,0.4
catboost_tuned,texture,covariate_shift,1337,0.05,6,4,0.4
catboost_tuned,texture,covariate_shift,2025,0.05,6,4,0.4
catboost_tuned,texture,label_noise,42,0.05,6,4,0.4
catboost_tuned,texture,label_noise,1337,0.05,6,4,0.4
catboost_tuned,texture,label_noise,2025,0.05,6,4,0.4
catboost_tuned,tic-tac-toe,covariate_shift,42,0.4,6,0,0.4
catboost_tuned,tic-tac-toe,covariate_shift,1337,0.4,6,0,0.4
catboost_tuned,tic-tac-toe,covariate_shift,2025,0.4,6,0,0.4
catboost_tuned,tic-tac-toe,label_noise,42,0.0,6,5,0.4
catboost_tuned,tic-tac-toe,label_noise,1337,0.0,6,5,0.4
catboost_tuned,tic-tac-toe,label_noise,2025,0.0,6,5,0.4
catboost_tuned,vehicle,covariate_shift,42,0.05,6,4,0.4
catboost_tuned,vehicle,covariate_shift,1337,0.0,6,6,0.4
catboost_tuned,vehicle,covariate_shift,2025,0.05,6,4,0.4
catboost_tuned,vehicle,label_noise,42,0.05,6,4,0.4
catboost_tuned,vehicle,label_noise,1337,0.0,6,5,0.4
catboost_tuned,vehicle,label_noise,2025,0.0,6,5,0.4
catboost_tuned,vowel,covariate_shift,42,0.0,6,6,0.4
catboost_tuned,vowel,covariate_shift,1337,0.05,6,4,0.4
catboost_tuned,vowel,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,vowel,label_noise,42,0.0,6,6,0.4
catboost_tuned,vowel,label_noise,1337,0.0,6,5,0.4
catboost_tuned,vowel,label_noise,2025,0.0,6,5,0.4
catboost_tuned,wall-robot-navigation,covariate_shift,42,0.0,6,5,0.4
catboost_tuned,wall-robot-navigation,covariate_shift,1337,0.0,6,5,0.4
catboost_tuned,wall-robot-navigation,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,wall-robot-navigation,label_noise,42,0.0,6,5,0.4
catboost_tuned,wall-robot-navigation,label_noise,1337,0.0,6,5,0.4
catboost_tuned,wall-robot-navigation,label_noise,2025,0.0,6,5,0.4
catboost_tuned,wdbc,covariate_shift,42,0.0,6,5,0.4
catboost_tuned,wdbc,covariate_shift,1337,0.05,6,4,0.4
catboost_tuned,wdbc,covariate_shift,2025,0.0,6,5,0.4
catboost_tuned,wdbc,label_noise,42,0.05,6,4,0.4
