dataset_id,model,family,shift_axis,shift_lambda,variant_seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes,base_seed
optdigits,tabpfn_client,icl,covariate_shift,0.4,3325882813,test_only,True,low,True,ok,,0.9193357058125742,0.9972067313617654,0.7537620855880036,0.3273547144387566,0.4070891316081214,0.3072984711952528,3934,,,True,ece,,2025
optdigits,tabicl,icl,label_noise,0.0,2597220926,train_only,True,low,True,ok,,0.9970344009489917,0.9999843989205667,0.01201734467955754,0.005219066481461241,0.002890069341016822,0.49740596595190534,3934,,,False,,,2025
optdigits,tabicl,icl,label_noise,0.05,2105220605,train_only,True,low,True,ok,,0.9958481613285883,0.9999558726877597,0.048444453783710144,0.021039158957082423,0.037722987946563584,0.48550543436356675,3934,,,False,,,2025
optdigits,tabicl,icl,label_noise,0.1,3625003992,train_only,True,low,True,ok,,0.9922894424673784,0.9998930952584473,0.09315147455161592,0.04045517137891798,0.0750675553390929,0.47165593722906934,3934,,,False,,,2025
optdigits,tabicl,icl,label_noise,0.2,3685885592,train_only,True,low,True,ok,,0.9940688018979834,0.9999197912524412,0.18678944328144445,0.08112162449491175,0.15336226730123115,0.4440733064143322,3934,,,True,ece,,2025
optdigits,tabicl,icl,label_noise,0.3,1224269730,train_only,True,low,True,ok,,0.9940688018979834,0.9999379990287467,0.2942196177684531,0.1277779564645231,0.2407595696654527,0.41260331907231135,3934,,,True,ece,,2025
optdigits,tabicl,icl,label_noise,0.4,2982944658,train_only,True,low,True,ok,,0.9916963226571768,0.9999002155188862,0.4374196060015985,0.18996892116278874,0.3361902983354471,0.3744907878142607,3934,,,True,ece,,2025
optdigits,tabpfn_client,icl,label_noise,0.0,2597220926,train_only,True,low,True,ok,,0.9976275207591934,0.9999793134489117,0.01365547592544827,0.005930497842184884,0.004658251375041262,0.4969260881933344,3934,,,False,,,2025
optdigits,tabpfn_client,icl,label_noise,0.05,2105220605,train_only,True,low,True,ok,,0.99644128113879,0.9999655739809974,0.0482234148179289,0.020943162953958025,0.0363637232754211,0.48589844952289596,3934,,,False,,,2025
optdigits,tabpfn_client,icl,label_noise,0.1,3625003992,train_only,True,low,True,ok,,0.9958481613285883,0.999956997585636,0.09038937710643052,0.03925560769999489,0.0742510943838094,0.4727352721675005,3934,,,False,,,2025
optdigits,tabpfn_client,icl,label_noise,0.2,3685885592,train_only,True,low,True,ok,,0.9940688018979834,0.9999684276247081,0.18520674203291448,0.08043426607617381,0.1555694701154916,0.4438550961073948,3934,,,True,ece,,2025
optdigits,tabpfn_client,icl,label_noise,0.3,1224269730,train_only,True,low,True,ok,,0.9934756820877817,0.9999657078170019,0.300065216878281,0.13031666790133994,0.2454031112361852,0.41083372743147883,3934,,,True,ece,,2025
optdigits,tabpfn_client,icl,label_noise,0.4,2982944658,train_only,True,low,True,ok,,0.9916963226571768,0.9999235093350427,0.44868176213698513,0.19486001342672002,0.3451628810609608,0.37123709642563324,3934,,,True,ece,,2025
pc1,tabicl,icl,covariate_shift,0.0,242141192,test_only,False,high,True,ok,,0.93993993993994,0.9144460028050491,0.15754779215072534,0.22729341843885661,0.017198904415852995,0.3894192855579306,776,,,False,,,2025
pc1,tabicl,icl,covariate_shift,0.05,721101660,test_only,False,low,True,ok,,0.9279279279279279,0.8084151472650771,0.22381492323094818,0.32289667982223297,0.05217426018235745,0.31483063474882483,776,,,False,,,2025
pc1,tabicl,icl,covariate_shift,0.1,4040414018,test_only,False,low,True,ok,,0.9279279279279279,0.8137447405329593,0.23176758417468046,0.3343699443276269,0.06030828754953052,0.3116272075675307,776,,,False,,,2025
pc1,tabicl,icl,covariate_shift,0.2,1281045154,test_only,False,low,True,ok,,0.9279279279279279,0.8137447405329594,0.25287378205077793,0.3648197513354939,0.09405854402871142,0.29574221416933444,776,,,False,,,2025
pc1,tabicl,icl,covariate_shift,0.3,540153554,test_only,False,low,True,ok,,0.9279279279279279,0.8015427769985976,0.27735053177864377,0.40013223678496623,0.1237357160262243,0.2749423468979636,776,,,True,ece,,2025
pc1,tabicl,icl,covariate_shift,0.4,3796088359,test_only,False,low,True,ok,,0.9309309309309309,0.7901823281907434,0.3038422931628777,0.43835176955841426,0.14815531092767967,0.2550668614533397,776,,,True,ece,,2025
pc1,tabpfn_client,icl,covariate_shift,0.0,242141192,test_only,False,high,True,ok,,0.93993993993994,0.8908835904628332,0.15945653330058135,0.23004714983009458,0.028217211117091526,0.37814266048053596,776,,,False,,,2025
pc1,tabpfn_client,icl,covariate_shift,0.05,721101660,test_only,False,low,True,ok,,0.9309309309309309,0.8224403927068724,0.2077523641286014,0.29972330546129144,0.030788848436023537,0.33141901576145283,776,,,False,,,2025
pc1,tabpfn_client,icl,covariate_shift,0.1,4040414018,test_only,False,low,True,ok,,0.9279279279279279,0.8161290322580645,0.22275442449854943,0.3213667035601323,0.053909313273512505,0.3176424767567696,776,,,False,,,2025
pc1,tabpfn_client,icl,covariate_shift,0.2,1281045154,test_only,False,low,True,ok,,0.9309309309309309,0.8098176718092566,0.26309379387448917,0.37956411171138865,0.09808551983898359,0.2895894872916661,776,,,False,,,2025
pc1,tabpfn_client,icl,covariate_shift,0.3,540153554,test_only,False,low,True,ok,,0.9369369369369369,0.7900420757363253,0.29628067450728335,0.4274426598228948,0.13810700476596321,0.26120106814819327,776,,,True,ece,,2025
pc1,tabpfn_client,icl,covariate_shift,0.4,3796088359,test_only,False,low,True,ok,,0.924924924924925,0.7823281907433379,0.37204260570586184,0.5367440222512548,0.1971249244836679,0.21210541392679694,776,,,True,ece,,2025
pc1,tabicl,icl,label_noise,0.0,701427530,train_only,False,high,True,ok,,0.93993993993994,0.9144460028050491,0.15754779215072534,0.22729341843885661,0.017198904415852995,0.3894192855579306,776,,,False,,,2025
pc1,tabicl,icl,label_noise,0.05,1642978902,train_only,False,high,True,ok,,0.9369369369369369,0.8799438990182328,0.19424762800399686,0.28024008962581043,0.04529557451720957,0.35538976340573697,776,,,False,,,2025
pc1,tabicl,icl,label_noise,0.1,2341177057,train_only,False,high,True,ok,,0.9279279279279279,0.7892005610098176,0.24774855153940967,0.3574256066933301,0.0733306194789248,0.2935155796388413,776,,,False,,,2025
pc1,tabicl,icl,label_noise,0.2,481466940,train_only,False,high,True,ok,,0.9309309309309309,0.8408134642356241,0.3110068800824575,0.44868808357731,0.17591430900254199,0.26413506524840663,776,,,True,ece,,2025
pc1,tabicl,icl,label_noise,0.3,1813897315,train_only,False,high,True,ok,,0.9309309309309309,0.7242636746143056,0.41151230666778765,0.5936867640943956,0.23501053494872093,0.16802378953658376,776,,,True,ece,,2025
pc1,tabicl,icl,label_noise,0.4,343296445,train_only,False,high,True,ok,,0.8858858858858859,0.6374474053295932,0.5600790248448633,0.8080232316496108,0.29652573185759806,0.05427735888183766,776,,,True,ece;nll,,2025
pc1,tabpfn_client,icl,label_noise,0.0,701427530,train_only,False,high,True,ok,,0.93993993993994,0.8908835904628332,0.15945653330058135,0.23004714983009458,0.028217211117091526,0.37814266048053596,776,,,False,,,2025
pc1,tabpfn_client,icl,label_noise,0.05,1642978902,train_only,False,high,True,ok,,0.933933933933934,0.8375876577840111,0.20373568689754556,0.29392846513919557,0.03884768025781861,0.33729769472117155,776,,,False,,,2025
pc1,tabpfn_client,icl,label_noise,0.1,2341177057,train_only,False,high,True,ok,,0.9309309309309309,0.826227208976157,0.24144541038821932,0.3483320962124846,0.06723634480391806,0.3108722649567655,776,,,False,,,2025
pc1,tabpfn_client,icl,label_noise,0.2,481466940,train_only,False,high,True,ok,,0.9369369369369369,0.7962131837307153,0.31974110809209433,0.4612889110128065,0.15939003051207976,0.24895047544003293,776,,,True,ece,,2025
pc1,tabpfn_client,icl,label_noise,0.3,1813897315,train_only,False,high,True,ok,,0.9099099099099099,0.7304347826086957,0.41269904166290433,0.5953988607866998,0.21895994025019574,0.16972701411348087,776,,,True,ece,,2025
pc1,tabpfn_client,icl,label_noise,0.4,343296445,train_only,False,high,True,ok,,0.9099099099099099,0.6886395511921458,0.5675149939331636,0.8187510673775054,0.3282436099503753,0.06623628720041086,776,,,True,ece;nll,,2025
splice,tabicl,icl,covariate_shift,0.0,1720232854,test_only,False,high,True,ok,,0.9655172413793104,0.9978495316535699,0.08389919284196191,0.07636833640708329,0.011489965868879452,0.46886642818974517,2233,,,False,,,2025
splice,tabicl,icl,covariate_shift,0.05,2447726860,test_only,False,high,True,ok,,0.9644723092998955,0.9975152692363739,0.08686052957767591,0.07906386126718125,0.011825151381223474,0.46771700197131616,2233,,,False,,,2025
splice,tabicl,icl,covariate_shift,0.1,1609574628,test_only,False,high,True,ok,,0.96760710553814,0.9976791875788752,0.08362413666378123,0.07611796948417718,0.009249636044822498,0.4696434634291097,2233,,,False,,,2025
