model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
catboost,credit-approval,covariate_shift,0.0,6,5,0.4,1337
catboost,credit-approval,label_noise,0.05,6,4,0.4,1337
catboost,credit-g,covariate_shift,0.4,6,0,0.4,1337
catboost,credit-g,label_noise,0.05,6,4,0.4,1337
catboost,eucalyptus,covariate_shift,0.0,6,6,0.4,1337
catboost,eucalyptus,label_noise,0.0,6,5,0.4,1337
catboost,kr-vs-kp,covariate_shift,0.4,6,0,0.4,1337
catboost,kr-vs-kp,label_noise,0.0,6,5,0.4,1337
catboost,optdigits,covariate_shift,0.1,6,3,0.4,1337
catboost,optdigits,label_noise,0.05,6,4,0.4,1337
catboost,pc1,covariate_shift,0.0,6,5,0.4,1337
catboost,pc1,label_noise,0.05,6,4,0.4,1337
catboost,splice,covariate_shift,0.4,6,0,0.4,1337
catboost,splice,label_noise,0.1,6,3,0.4,1337
catboost,steel-plates-fault,covariate_shift,0.4,6,0,0.4,1337
catboost,steel-plates-fault,label_noise,0.0,6,5,0.4,1337
catboost,vehicle,covariate_shift,0.0,6,6,0.4,1337
catboost,vehicle,label_noise,0.0,6,3,0.4,1337
catboost,wdbc,covariate_shift,0.05,6,4,0.4,1337
catboost,wdbc,label_noise,0.05,6,4,0.4,1337
hist_gbdt,car,covariate_shift,0.4,6,0,0.4,1337
hist_gbdt,car,label_noise,0.05,6,4,0.4,1337
hist_gbdt,churn,covariate_shift,0.0,6,5,0.4,1337
hist_gbdt,churn,label_noise,0.05,6,4,0.4,1337
hist_gbdt,credit-approval,covariate_shift,0.0,6,5,0.4,1337
hist_gbdt,credit-approval,label_noise,0.05,6,4,0.4,1337
hist_gbdt,credit-g,covariate_shift,0.0,6,6,0.4,1337
hist_gbdt,credit-g,label_noise,0.0,6,6,0.4,1337
hist_gbdt,eucalyptus,covariate_shift,0.0,6,6,0.4,1337
hist_gbdt,eucalyptus,label_noise,0.0,6,6,0.4,1337
hist_gbdt,kr-vs-kp,covariate_shift,0.4,6,0,0.4,1337
hist_gbdt,kr-vs-kp,label_noise,0.0,6,5,0.4,1337
hist_gbdt,optdigits,covariate_shift,0.1,6,3,0.4,1337
hist_gbdt,optdigits,label_noise,0.2,6,2,0.4,1337
hist_gbdt,pc1,covariate_shift,0.0,6,6,0.4,1337
hist_gbdt,pc1,label_noise,0.0,6,6,0.4,1337
hist_gbdt,splice,covariate_shift,0.4,6,0,0.4,1337
hist_gbdt,splice,label_noise,0.1,6,3,0.4,1337
hist_gbdt,steel-plates-fault,covariate_shift,0.4,6,0,0.4,1337
hist_gbdt,steel-plates-fault,label_noise,0.05,6,4,0.4,1337
hist_gbdt,vehicle,covariate_shift,0.0,6,6,0.4,1337
hist_gbdt,vehicle,label_noise,0.0,6,6,0.4,1337
hist_gbdt,wdbc,covariate_shift,0.05,6,4,0.4,1337
hist_gbdt,wdbc,label_noise,0.1,6,3,0.4,1337
logreg,car,covariate_shift,0.0,6,6,0.4,1337
logreg,car,label_noise,0.0,6,6,0.4,1337
logreg,churn,covariate_shift,0.0,6,6,0.4,1337
logreg,churn,label_noise,0.0,6,6,0.4,1337
logreg,credit-approval,covariate_shift,0.0,6,5,0.4,1337
logreg,credit-approval,label_noise,0.0,6,5,0.4,1337
logreg,credit-g,covariate_shift,0.0,6,6,0.4,1337
logreg,credit-g,label_noise,0.0,6,6,0.4,1337
logreg,eucalyptus,covariate_shift,0.0,6,5,0.4,1337
logreg,eucalyptus,label_noise,0.1,6,3,0.4,1337
logreg,kr-vs-kp,covariate_shift,0.0,6,6,0.4,1337
logreg,kr-vs-kp,label_noise,0.0,6,6,0.4,1337
