sel_acc_80,cov_at_risk10,aurc,accuracy,model,family,dataset_id,shift_axis,shift_lambda,status,seed
1.0,1.0,0.0013118802828080932,0.9895833333333334,tabpfn,icl,tic-tac-toe,label_noise,0.3,ok,42
0.8130434782608695,0.5729166666666666,0.10200084376133539,0.65625,tabpfn,icl,tic-tac-toe,label_noise,0.4,ok,42
1.0,1.0,0.00014703588371416226,0.9930555555555556,tabpfn,icl,tic-tac-toe,covariate_shift,0.0,ok,42
1.0,1.0,0.00014703588371416226,0.9930555555555556,tabpfn,icl,tic-tac-toe,covariate_shift,0.05,ok,42
1.0,1.0,0.00014703588371416226,0.9930555555555556,tabpfn,icl,tic-tac-toe,covariate_shift,0.1,ok,42
1.0,1.0,0.00014703588371416226,0.9930555555555556,tabpfn,icl,tic-tac-toe,covariate_shift,0.2,ok,42
1.0,1.0,0.00014703588371416226,0.9930555555555556,tabpfn,icl,tic-tac-toe,covariate_shift,0.3,ok,42
1.0,1.0,0.00014703588371416226,0.9930555555555556,tabpfn,icl,tic-tac-toe,covariate_shift,0.4,ok,42
0.8432432432432433,0.3939393939393939,0.12514294987372473,0.7748917748917749,logreg,linear,diabetes,label_noise,0.0,ok,42
0.8378378378378378,0.36363636363636365,0.12546623896942835,0.7619047619047619,logreg,linear,diabetes,label_noise,0.05,ok,42
0.8432432432432433,0.4329004329004329,0.11767821387615782,0.7662337662337663,logreg,linear,diabetes,label_noise,0.1,ok,42
0.8,0.3203463203463203,0.14316187935970498,0.7835497835497836,logreg,linear,diabetes,label_noise,0.2,ok,42
0.8054054054054054,0.38961038961038963,0.12662470868252593,0.7748917748917749,logreg,linear,diabetes,label_noise,0.3,ok,42
0.772972972972973,0.05194805194805195,0.21692714129425342,0.7229437229437229,logreg,linear,diabetes,label_noise,0.4,ok,42
0.8432432432432433,0.3939393939393939,0.12514294987372473,0.7748917748917749,logreg,linear,diabetes,covariate_shift,0.0,ok,42
0.8216216216216217,0.4805194805194805,0.1270328739940375,0.7619047619047619,logreg,linear,diabetes,covariate_shift,0.05,ok,42
0.7945945945945946,0.4675324675324675,0.1432419984988557,0.7532467532467533,logreg,linear,diabetes,covariate_shift,0.1,ok,42
0.6972972972972973,0.2510822510822511,0.22051207124243183,0.658008658008658,logreg,linear,diabetes,covariate_shift,0.2,ok,42
0.5675675675675675,0.2077922077922078,0.31297680135327405,0.5670995670995671,logreg,linear,diabetes,covariate_shift,0.3,ok,42
0.4864864864864865,0.18614718614718614,0.36925264483764075,0.4588744588744589,logreg,linear,diabetes,covariate_shift,0.4,ok,42
