dataset_id,model,family,shift_axis,shift_lambda,seed,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,brier,ece_adaptive,ece_classwise,calib_slope,calib_intercept,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
credit-approval,hist_gbdt,gbdt,categorical_covariate_shift,0.1,3154470258,test_only,True,low,True,ok,,0.7922705314009661,0.8842155009451796,0.5709253149896139,0.8236711206534852,0.12356427220991284,0.30832850313545307,0.12550701901826894,0.12920758972220747,0.5152774130429844,-0.3976879751706866,0.15650181440292965,483,catboost,0.2726410042561843,True,utility_gap;ece;nll,
credit-approval,hist_gbdt,gbdt,categorical_covariate_shift,0.2,2082248130,test_only,True,low,True,ok,,0.7874396135265701,0.8672022684310019,0.6503172653535438,0.9382094937300298,0.1496592957983756,0.33084923223912266,0.14193720583805636,0.16310257745125872,0.4639516080764357,-0.35513090030427674,0.11024202870115206,483,catboost,0.2726410042561843,True,utility_gap;ece;nll,
credit-approval,hist_gbdt,gbdt,categorical_covariate_shift,0.3,370067149,test_only,True,low,True,ok,,0.7777777777777778,0.8500945179584121,0.7047023259087346,1.0166705508914495,0.15773535370437997,0.3612290940723952,0.15174164318586206,0.15773535370438002,0.37155782071729265,-0.046340393616333526,0.07765151194380003,483,catboost,0.2726410042561843,True,utility_gap;ece;nll,
credit-approval,hist_gbdt,gbdt,categorical_covariate_shift,0.4,1568213478,test_only,True,low,True,ok,,0.7681159420289855,0.8353497164461249,0.713210937214923,1.0289458822277393,0.15308538884245526,0.3620921605790736,0.15378851859619797,0.15837195741652274,0.3813128709619017,-0.0948847591394656,0.0682889496236787,483,catboost,0.2726410042561843,True,utility_gap;ece;nll,
credit-approval,logreg,linear,categorical_covariate_shift,0.0,4191613765,test_only,True,low,True,ok,,0.8357487922705314,0.9141776937618148,0.3725281444938536,0.5374445066528498,0.061759731971057996,0.21709442884904287,0.06343949395598718,0.08065785917096582,0.8614890050650981,-0.0903612854944858,0.2717392132671483,483,catboost,0.2726410042561843,False,,
credit-approval,logreg,linear,categorical_covariate_shift,0.05,4187467237,test_only,True,low,True,ok,,0.8502415458937198,0.907561436672968,0.3783452404181349,0.5458368020951858,0.05454890861947287,0.22055643461127267,0.06568819068429083,0.0867850497128227,0.7064566251237303,0.2716048351690434,0.2705219123671464,483,catboost,0.2726410042561843,False,,
credit-approval,logreg,linear,categorical_covariate_shift,0.1,3154470258,test_only,True,low,True,ok,,0.7777777777777778,0.8796786389413989,0.446246872425322,0.643798149860222,0.06900968832849241,0.2807035239788498,0.0924584606553144,0.072587572968031,0.9250630965542602,-0.46243329062238264,0.2176128076723912,483,catboost,0.2726410042561843,True,utility_gap,
credit-approval,logreg,linear,categorical_covariate_shift,0.2,2082248130,test_only,True,low,True,ok,,0.782608695652174,0.8518903591682421,0.5137125526518087,0.7411305521531749,0.10538299551406019,0.2994768788679684,0.1104402463383551,0.13256251001001484,0.5686808121476453,0.09660501683910956,0.1721371653079463,483,catboost,0.2726410042561843,True,utility_gap;ece,
credit-approval,logreg,linear,categorical_covariate_shift,0.3,370067149,test_only,True,low,True,ok,,0.748792270531401,0.8241965973534972,0.581493953524061,0.8389184430560802,0.10104573283824844,0.35517552348020853,0.1328820369420433,0.11893024280378607,0.49406411792927557,0.07476536198439757,0.12890297016896038,483,catboost,0.2726410042561843,True,utility_gap;ece;nll,
credit-approval,logreg,linear,categorical_covariate_shift,0.4,1568213478,test_only,True,low,True,ok,,0.7004830917874396,0.8049149338374292,0.6897274950106196,0.9950664366165881,0.1535369408208268,0.4249291446151108,0.15353694082082686,0.19137613142930449,0.48748820165256496,-0.2549950733446156,0.05756537146207434,483,catboost,0.2726410042561843,True,utility_gap;ece;nll,
credit-approval,tabicl,icl,categorical_covariate_shift,0.0,4191613765,test_only,True,low,True,ok,,0.8502415458937198,0.9159735349716446,0.36362540754451284,0.5246005722056969,0.05064424571782873,0.2114137706378496,0.06452287122519654,0.08077106775910867,0.7619566110062456,0.0044570663003292545,0.2806179483188587,483,catboost,0.2726410042561843,False,,
credit-approval,tabicl,icl,categorical_covariate_shift,0.05,4187467237,test_only,True,low,True,ok,,0.8502415458937198,0.916351606805293,0.37240392037818154,0.5372652891372109,0.049073380709783086,0.22080511513531306,0.05950691398899856,0.09868466987455365,0.6935419728068621,0.2960803468095034,0.27726503138279057,483,catboost,0.2726410042561843,False,,
credit-approval,tabicl,icl,categorical_covariate_shift,0.1,3154470258,test_only,True,low,True,ok,,0.7922705314009661,0.8694706994328922,0.4589057395450981,0.6620610346771953,0.08651353368537562,0.29086355907264466,0.08942640269020304,0.09143782017366658,0.6817212207593166,0.12813789926192828,0.20723430737142343,483,catboost,0.2726410042561843,True,utility_gap,
credit-approval,tabicl,icl,categorical_covariate_shift,0.2,2082248130,test_only,True,low,True,ok,,0.7971014492753623,0.8520793950850661,0.5030016173819072,0.7256779389560053,0.07113553522480714,0.3148431502987035,0.08366928507880259,0.1355749616358868,0.4636838859839187,0.6525699316794458,0.18586251693931444,483,catboost,0.2726410042561843,True,utility_gap,
