model,cell,in_common,rho_grid,rho_self
tabicl,"('credit-approval', 'covariate_shift')",False,0.3,0.1
tabicl,"('credit-approval', 'label_noise')",False,0.1,0.1
tabicl,"('credit-g', 'covariate_shift')",False,0.4,0.4
tabicl,"('credit-g', 'label_noise')",False,0.1,0.1
tabicl,"('diabetes', 'covariate_shift')",False,0.1,0.1
tabicl,"('diabetes', 'label_noise')",False,0.1,0.1
tabicl,"('dna', 'covariate_shift')",False,0.4,0.4
tabicl,"('dna', 'label_noise')",False,0.1,0.1
tabicl,"('dresses-sales', 'covariate_shift')",False,0.0,0.4
tabicl,"('dresses-sales', 'label_noise')",False,0.0,0.1
tabicl,"('eucalyptus', 'covariate_shift')",False,0.0,0.0
tabicl,"('eucalyptus', 'label_noise')",False,0.05,0.05
tabicl,"('first-order-theorem-proving', 'covariate_shift')",False,0.0,0.0
tabicl,"('first-order-theorem-proving', 'label_noise')",False,0.2,0.1
tabicl,"('ilpd', 'covariate_shift')",False,0.0,0.05
tabicl,"('ilpd', 'label_noise')",False,0.0,0.1
tabicl,"('kc1', 'covariate_shift')",False,0.0,0.0
tabicl,"('kc1', 'label_noise')",False,0.1,0.05
tabicl,"('kr-vs-kp', 'covariate_shift')",False,0.4,0.4
tabicl,"('kr-vs-kp', 'label_noise')",False,0.05,0.05
tabicl,"('mfeat-factors', 'covariate_shift')",True,0.2,0.2
tabicl,"('mfeat-factors', 'label_noise')",True,0.1,0.1
tabicl,"('mfeat-fourier', 'covariate_shift')",True,0.1,0.1
tabicl,"('mfeat-fourier', 'label_noise')",True,0.1,0.1
tabicl,"('mfeat-karhunen', 'covariate_shift')",True,0.2,0.2
tabicl,"('mfeat-karhunen', 'label_noise')",True,0.1,0.1
tabicl,"('mfeat-morphological', 'covariate_shift')",False,0.0,0.0
tabicl,"('mfeat-morphological', 'label_noise')",False,0.1,0.1
tabicl,"('mfeat-zernike', 'covariate_shift')",False,0.1,0.1
tabicl,"('mfeat-zernike', 'label_noise')",False,0.1,0.1
tabicl,"('optdigits', 'covariate_shift')",True,0.05,0.0
tabicl,"('optdigits', 'label_noise')",True,0.1,0.1
tabicl,"('ozone-level-8hr', 'covariate_shift')",False,0.3,0.1
tabicl,"('ozone-level-8hr', 'label_noise')",False,0.05,0.05
tabicl,"('pc1', 'covariate_shift')",False,0.0,0.0
tabicl,"('pc1', 'label_noise')",False,0.05,0.05
tabicl,"('pc3', 'covariate_shift')",False,0.05,0.0
tabicl,"('pc3', 'label_noise')",False,0.05,0.05
tabicl,"('pc4', 'covariate_shift')",False,0.0,0.0
tabicl,"('pc4', 'label_noise')",False,0.05,0.05
tabicl,"('pendigits', 'covariate_shift')",True,0.0,0.0
tabicl,"('pendigits', 'label_noise')",True,0.1,0.1
tabicl,"('phoneme', 'covariate_shift')",False,0.0,0.0
tabicl,"('phoneme', 'label_noise')",False,0.1,0.05
tabicl,"('qsar-biodeg', 'covariate_shift')",False,0.0,0.0
tabicl,"('qsar-biodeg', 'label_noise')",False,0.05,0.05
tabicl,"('satimage', 'covariate_shift')",False,0.05,0.05
tabicl,"('satimage', 'label_noise')",False,0.1,0.05
tabicl,"('segment', 'covariate_shift')",False,0.0,0.0
tabicl,"('segment', 'label_noise')",False,0.1,0.1
tabicl,"('spambase', 'covariate_shift')",False,0.0,0.0
tabicl,"('spambase', 'label_noise')",False,0.05,0.05
tabicl,"('splice', 'covariate_shift')",True,0.4,0.4
tabicl,"('splice', 'label_noise')",True,0.1,0.05
tabicl,"('steel-plates-fault', 'covariate_shift')",True,0.0,0.0
tabicl,"('steel-plates-fault', 'label_noise')",True,0.05,0.05
tabicl,"('texture', 'covariate_shift')",True,0.2,0.2
tabicl,"('texture', 'label_noise')",True,0.1,0.1
tabicl,"('tic-tac-toe', 'covariate_shift')",False,0.4,0.4
tabicl,"('tic-tac-toe', 'label_noise')",False,0.05,0.05
tabicl,"('vehicle', 'covariate_shift')",False,0.1,0.0
tabicl,"('vehicle', 'label_noise')",False,0.1,0.05
tabicl,"('vowel', 'covariate_shift')",False,0.1,0.05
tabicl,"('vowel', 'label_noise')",False,0.05,0.05
tabicl,"('wall-robot-navigation', 'covariate_shift')",False,0.0,0.0
tabicl,"('wall-robot-navigation', 'label_noise')",False,0.05,0.05
tabicl,"('wdbc', 'covariate_shift')",True,0.05,0.0
tabicl,"('wdbc', 'label_noise')",True,0.1,0.0
tabpfn_client,"('GesturePhaseSegmentation', 'covariate_shift')",False,0.0,0.0
tabpfn_client,"('GesturePhaseSegmentation', 'label_noise')",False,0.05,0.0
tabpfn_client,"('MiceProtein', 'covariate_shift')",True,0.2,0.2
tabpfn_client,"('MiceProtein', 'label_noise')",True,0.1,0.05
tabpfn_client,"('PhishingWebsites', 'covariate_shift')",False,0.4,0.4
tabpfn_client,"('PhishingWebsites', 'label_noise')",False,0.05,0.05
tabpfn_client,"('analcatdata_authorship', 'covariate_shift')",True,0.1,0.1
tabpfn_client,"('analcatdata_authorship', 'label_noise')",True,0.1,0.05
tabpfn_client,"('breast-w', 'covariate_shift')",True,0.05,0.05
tabpfn_client,"('breast-w', 'label_noise')",True,0.05,0.05
tabpfn_client,"('car', 'covariate_shift')",False,0.4,0.4
tabpfn_client,"('car', 'label_noise')",False,0.05,0.05
tabpfn_client,"('churn', 'covariate_shift')",False,0.05,0.0
tabpfn_client,"('churn', 'label_noise')",False,0.1,0.05
tabpfn_client,"('climate-model-simulation-crashes', 'covariate_shift')",False,0.2,0.1
tabpfn_client,"('climate-model-simulation-crashes', 'label_noise')",False,0.1,0.0
tabpfn_client,"('cmc', 'covariate_shift')",False,0.0,0.1
tabpfn_client,"('cmc', 'label_noise')",False,0.0,0.1
tabpfn_client,"('cnae-9', 'covariate_shift')",False,0.0,0.0
tabpfn_client,"('cnae-9', 'label_noise')",False,0.0,0.1
tabpfn_client,"('credit-approval', 'covariate_shift')",False,0.1,0.1
tabpfn_client,"('credit-approval', 'label_noise')",False,0.2,0.1
tabpfn_client,"('credit-g', 'covariate_shift')",False,0.4,0.4
tabpfn_client,"('credit-g', 'label_noise')",False,0.1,0.1
tabpfn_client,"('diabetes', 'covariate_shift')",False,0.05,0.05
tabpfn_client,"('diabetes', 'label_noise')",False,0.1,0.2
tabpfn_client,"('dna', 'covariate_shift')",False,0.4,0.4
tabpfn_client,"('dna', 'label_noise')",False,0.05,0.05
tabpfn_client,"('dresses-sales', 'covariate_shift')",False,0.0,0.4
tabpfn_client,"('dresses-sales', 'label_noise')",False,0.0,0.1
tabpfn_client,"('eucalyptus', 'covariate_shift')",False,0.0,0.0
